hotel,is_canceled,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,is_repeated_guest,reserved_room_type,deposit_type,customer_type,price,reservation_status,reservation_status_date,name,email,phone_number,credit_card
Resort Hotel,1,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Canceled,2015-11-16,Zachary Singleton,Zachary_S@protonmail.com,807-517-1063,************1870
Resort Hotel,1,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Canceled,2015-11-16,Brian Carrillo,Brian.C@hotmail.com,280-823-8150,************6223
Resort Hotel,1,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Canceled,2015-11-16,Jeffrey Tyler,Tyler_Jeffrey@outlook.com,210-775-4244,************6147
Resort Hotel,1,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Canceled,2015-11-16,Evan Aguirre,EvanAguirre94@verizon.com,146-022-0071,************3987
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,Natasha Morris,Morris_Natasha53@zoho.com,927-036-0847,************7330
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,Sandra Reyes,Sandra_Reyes25@yahoo.com,988-600-2479,************7642
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,Jennifer Soto,Soto_Jennifer@aol.com,567-918-3291,************3328
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,Sylvia Valdez,Valdez.Sylvia@mail.com,197-958-9271,************3195
Resort Hotel,0,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Check-Out,2015-11-16,Anthony Bautista,Anthony_B45@mail.com,825-793-6913,************5038
Resort Hotel,1,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Canceled,2015-11-16,Jaclyn Garcia,Jaclyn.G93@aol.com,363-808-9123,************9809
Resort Hotel,1,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Canceled,2015-11-16,Kevin Wheeler,Kevin.W@yandex.com,684-547-6271,************9181
Resort Hotel,1,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Canceled,2015-11-16,Walter Oconnor,WalterOconnor@gmail.com,699-324-3965,************3212
Resort Hotel,1,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Canceled,2015-11-16,Michael Johnson,Michael_Johnson@protonmail.com,759-246-0968,************4560
Resort Hotel,1,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Canceled,2015-11-16,Dean Pierce,DPierce@comcast.net,101-406-6133,************6319
Resort Hotel,1,2016,January,1,2,0,1,2,0.0,0,HB,PRT,0,A,Non Refund,Transient,72.0,Canceled,2015-11-16,Shawn Davidson,Shawn.D@protonmail.com,529-986-1128,************6360
Resort Hotel,0,2016,January,1,2,2,5,2,0.0,0,BB,FRA,0,D,No Deposit,Transient,46.93,Check-Out,2016-01-09,Christopher Pugh,Christopher.Pugh@yandex.com,780-440-1080,************1278
Resort Hotel,1,2016,January,2,3,2,3,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,36.45,Canceled,2015-12-12,Catherine Garcia,Catherine_G@yahoo.com,609-223-4784,************4804
Resort Hotel,1,2016,January,2,3,2,4,2,0.0,0,BB,PRT,0,E,No Deposit,Transient,96.0,Canceled,2015-12-26,Kristen Camacho,KCamacho33@zoho.com,225-479-8263,************4196
Resort Hotel,1,2016,January,2,4,1,1,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,32.3,Canceled,2016-01-04,Paula Graham,Paula_Graham@yahoo.com,594-175-4450,************7965
Resort Hotel,1,2016,January,2,4,1,2,2,0.0,0,BB,PRT,0,E,No Deposit,Transient,52.8,Canceled,2016-01-04,Stephen Singleton,Stephen_S30@att.com,774-809-6030,************8941
Resort Hotel,0,2016,January,2,4,1,3,2,0.0,0,HB,PRT,0,A,No Deposit,Transient-Party,68.0,Check-Out,2015-12-30,Tracy Warren,Tracy_Warren@att.com,508-840-0238,************8379
Resort Hotel,0,2016,January,2,4,1,3,1,0.0,0,HB,PRT,0,A,No Deposit,Transient-Party,61.0,Check-Out,2015-12-30,Cassandra Peters,Cassandra.P@zoho.com,719-827-2097,************8682
Resort Hotel,0,2016,January,2,4,1,3,2,0.0,0,HB,PRT,0,A,No Deposit,Transient-Party,68.0,Check-Out,2015-12-30,Corey Rhodes,Rhodes_Corey61@verizon.com,817-965-9422,************7115
Resort Hotel,0,2016,January,2,4,1,3,2,0.0,0,HB,PRT,0,A,No Deposit,Transient-Party,68.0,Check-Out,2015-12-30,Erin Williams,Erin.W15@xfinity.com,447-650-4977,************8222
Resort Hotel,0,2016,January,2,4,1,3,2,0.0,0,HB,PRT,0,A,No Deposit,Transient-Party,68.0,Check-Out,2015-12-30,Karen Diaz,KarenDiaz@att.com,450-298-8946,************6632
Resort Hotel,1,2016,January,2,4,1,4,2,0.0,0,BB,PRT,0,E,No Deposit,Transient,54.4,Canceled,2015-12-26,Christian Wilson,Christian_Wilson@mail.com,314-551-4175,************8770
Resort Hotel,1,2016,January,2,4,1,4,2,0.0,0,BB,PRT,0,E,No Deposit,Transient,61.2,Canceled,2015-11-17,Brandon Owens,Brandon_Owens@protonmail.com,730-063-9089,************3416
Resort Hotel,1,2016,January,2,5,0,5,1,0.0,0,BB,PRT,0,A,No Deposit,Transient,25.11,Canceled,2015-12-26,Heather Kelly,Heather_Kelly41@yandex.com,451-292-4099,************7939
Resort Hotel,1,2016,January,2,5,0,3,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,29.16,Canceled,2015-09-14,Craig Butler,Butler.Craig@outlook.com,619-994-3280,************1699
Resort Hotel,1,2016,January,2,5,8,20,2,0.0,0,Undefined,PRT,0,A,No Deposit,Transient,65.0,Canceled,2015-12-29,Patrick Jones,Patrick_Jones19@yandex.com,194-067-6466,************3631
Resort Hotel,0,2016,January,2,6,0,1,2,0.0,0,HB,GBR,0,A,No Deposit,Transient,79.5,Check-Out,2016-01-07,Madeline Erickson,Erickson_Madeline35@yahoo.com,369-008-9658,************4049
Resort Hotel,0,2016,January,2,6,0,4,2,0.0,0,BB,DEU,0,D,No Deposit,Transient,41.4,Check-Out,2016-01-10,Mike Price,Price.Mike83@xfinity.com,724-196-6406,************2086
Resort Hotel,0,2016,January,2,6,0,4,2,0.0,0,BB,BRA,0,D,No Deposit,Transient,47.4,Check-Out,2016-01-10,Melissa Chambers,Melissa.C@verizon.com,926-211-7136,************2024
Resort Hotel,1,2016,January,2,6,2,6,2,0.0,0,BB,PRT,0,E,No Deposit,Transient,47.6,Canceled,2015-11-12,Kathy Marshall,Kathy_M@yandex.com,333-859-7174,************8853
Resort Hotel,0,2016,January,2,6,2,6,2,0.0,0,BB,PRT,0,G,No Deposit,Transient,73.1,No-Show,2015-11-12,Russell Hill,Hill.Russell45@aol.com,423-421-9739,************2269
Resort Hotel,0,2016,January,2,7,0,1,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,48.0,No-Show,2016-01-07,Alexis Walsh,Alexis.Walsh@protonmail.com,810-217-3444,************4844
Resort Hotel,0,2016,January,2,7,1,3,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,38.4,No-Show,2015-09-05,Mrs. Regina Smith,Mrs.Smith51@verizon.com,846-295-4622,************9874
Resort Hotel,0,2016,January,2,7,2,5,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,107.0,No-Show,2015-06-26,Ryan Williams,RyanWilliams@hotmail.com,596-777-6350,************7417
Resort Hotel,1,2016,January,2,7,2,5,1,0.0,0,HB,PRT,0,A,No Deposit,Transient,33.08,Canceled,2015-11-26,Catherine Robbins,CatherineRobbins@xfinity.com,296-412-0649,************1309
Resort Hotel,1,2016,January,2,8,0,2,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,48.0,Canceled,2015-12-28,Robert Lester,Robert.L@outlook.com,181-654-1118,************9050
Resort Hotel,1,2016,January,2,8,0,2,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,48.0,Canceled,2015-12-28,Colleen Trujillo,Colleen_Trujillo@protonmail.com,364-904-1739,************4401
Resort Hotel,0,2016,January,2,8,0,2,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,48.0,No-Show,2016-01-08,Matthew Martinez,MMartinez66@att.com,727-787-1072,************4976
Resort Hotel,0,2016,January,2,8,0,2,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,29.0,Check-Out,2016-01-10,Theresa Lewis,Theresa_Lewis@zoho.com,233-455-3050,************8951
Resort Hotel,1,2016,January,2,8,0,2,2,0.0,0,BB,PRT,0,E,No Deposit,Transient,96.0,Canceled,2016-01-04,James Orr,James_Orr@comcast.net,135-854-2431,************8746
Resort Hotel,0,2016,January,2,8,1,2,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,29.0,No-Show,2016-01-08,Bryce Fitzgerald,Bryce_Fitzgerald68@aol.com,796-420-6550,************7961
Resort Hotel,1,2016,January,2,8,1,2,2,0.0,0,BB,PRT,0,E,No Deposit,Transient,52.8,Canceled,2016-01-06,Brett Santos,Brett.Santos@verizon.com,569-295-0622,************4075
Resort Hotel,1,2016,January,2,8,1,2,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,52.8,Canceled,2016-01-06,Donna Dyer,Donna.Dyer83@xfinity.com,855-766-6150,************7497
Resort Hotel,0,2016,January,2,8,2,2,2,0.0,0,BB,IRL,0,D,No Deposit,Transient,33.3,Check-Out,2016-01-12,Aaron Williams,AWilliams@comcast.net,439-755-8223,************8876
Resort Hotel,0,2016,January,2,8,2,3,2,0.0,0,BB,GBR,0,E,No Deposit,Transient,50.4,Check-Out,2016-01-13,Bernard Rodriguez,Rodriguez.Bernard12@xfinity.com,259-461-9813,************4778
Resort Hotel,1,2016,January,2,8,8,20,2,0.0,0,BB,PRT,0,E,No Deposit,Transient,50.4,Canceled,2015-09-21,Michael Pruitt,Michael_P86@yahoo.com,741-393-1773,************9218
Resort Hotel,1,2016,January,2,9,0,1,1,0.0,0,BB,PRT,0,A,No Deposit,Transient,39.0,Canceled,2016-01-08,Eric Lewis,Lewis.Eric26@xfinity.com,684-951-9321,************6426
Resort Hotel,1,2016,January,2,9,0,1,2,0.0,0,BB,PRT,0,D,No Deposit,Transient,56.0,Canceled,2016-01-05,Gina Johnson,Johnson_Gina61@gmail.com,500-787-4588,************7674
Resort Hotel,0,2016,January,2,9,0,1,1,0.0,0,BB,PRT,0,A,No Deposit,Transient,39.0,No-Show,2016-01-08,Jason Holder,Holder.Jason@outlook.com,519-374-1606,************1007
Resort Hotel,0,2016,January,2,9,0,1,2,0.0,0,BB,PRT,0,D,No Deposit,Transient,56.0,No-Show,2016-01-05,Angela Perez,Angela_P50@verizon.com,588-338-4405,************1123
Resort Hotel,1,2016,January,2,9,2,1,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,36.45,Canceled,2015-10-05,Colin Foster,ColinFoster@outlook.com,963-692-9182,************1662
Resort Hotel,1,2016,January,2,9,2,5,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,48.0,Canceled,2015-12-30,Ms. Ashley Banks,MBanks@zoho.com,817-389-8487,************1078
Resort Hotel,1,2016,January,2,9,2,6,2,2.0,0,BB,PRT,0,G,No Deposit,Transient,77.4,Canceled,2015-10-05,Michelle Morales,MichelleMorales@att.com,395-593-8796,************5796
Resort Hotel,0,2016,January,2,9,4,10,2,0.0,0,BB,DEU,0,A,No Deposit,Transient,26.1,Check-Out,2016-01-23,Benjamin Mclean,Benjamin_M@att.com,684-498-3099,************3781
Resort Hotel,1,2016,January,3,10,2,4,1,0.0,0,BB,PRT,0,A,No Deposit,Transient,25.11,Canceled,2015-09-04,Rebecca Leon,Rebecca_Leon@yahoo.com,810-950-8973,************7469
Resort Hotel,1,2016,January,3,10,2,3,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,48.0,Canceled,2016-01-06,Christopher Williamson,Christopher.Williamson@hotmail.com,746-158-3419,************7825
Resort Hotel,0,2016,January,3,12,0,2,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,43.0,No-Show,2016-01-12,Steven Garcia,Garcia.Steven@zoho.com,302-597-2690,************4373
Resort Hotel,1,2016,January,3,12,2,10,2,0.0,0,BB,PRT,0,D,No Deposit,Transient,41.4,Canceled,2015-10-28,Michael Johnston,MichaelJohnston21@mail.com,588-442-5112,************4564
Resort Hotel,0,2016,January,3,12,2,10,2,0.0,0,BB,PRT,0,D,No Deposit,Transient,41.4,No-Show,2016-01-12,Eric Bowman,Bowman.Eric@verizon.com,754-383-5753,************1378
Resort Hotel,0,2016,January,3,12,8,20,2,0.0,0,BB,GBR,0,A,No Deposit,Contract,25.92,Check-Out,2016-02-09,Stephanie Martin,StephanieMartin@verizon.com,674-464-3768,************3007
Resort Hotel,1,2016,January,3,12,8,20,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,26.1,Canceled,2015-09-12,Natalie Porter,Natalie_P@yandex.com,837-590-6106,************9794
Resort Hotel,1,2016,January,3,12,12,30,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,22.11,Canceled,2015-12-04,Samantha White,Samantha.W@zoho.com,933-046-8568,************7596
Resort Hotel,0,2016,January,3,13,0,0,2,0.0,0,BB,PRT,0,D,No Deposit,Transient,0.0,Check-Out,2016-01-13,Collin Winters,Collin.W81@mail.com,145-211-6875,************2730
Resort Hotel,1,2016,January,3,13,0,4,1,0.0,0,BB,PRT,0,A,No Deposit,Transient,39.0,Canceled,2016-01-08,Michael Scott,Michael.Scott29@zoho.com,251-513-5948,************4172
Resort Hotel,1,2016,January,3,13,0,4,1,0.0,0,BB,PRT,0,A,No Deposit,Transient,39.0,Canceled,2016-01-08,Emily Johnson,Johnson_Emily@hotmail.com,711-806-2788,************3318
Resort Hotel,1,2016,January,3,13,0,4,1,0.0,0,BB,PRT,0,A,No Deposit,Transient,39.0,Canceled,2016-01-08,Angela Mills,Angela_Mills57@verizon.com,804-325-4749,************2024
Resort Hotel,0,2016,January,3,14,0,1,2,0.0,0,BB,USA,0,E,No Deposit,Transient,48.0,Check-Out,2016-01-15,Diane Frazier,Diane.F@att.com,972-684-6532,************9051
Resort Hotel,1,2016,January,3,15,0,1,2,0.0,0,BB,PRT,0,A,No Deposit,Transient-Party,44.0,Canceled,2016-01-15,Susan Sherman,Susan_Sherman69@yandex.com,113-717-0730,************4167
Resort Hotel,1,2016,January,3,15,0,2,2,0.0,0,BB,PRT,0,D,No Deposit,Transient,44.8,Canceled,2015-12-26,Clifford Wilson,Clifford_W@xfinity.com,666-714-5030,************2898
Resort Hotel,0,2016,January,3,16,0,1,2,0.0,0,BB,PRT,0,E,No Deposit,Transient,59.0,No-Show,2016-01-16,Justin Tran,Justin.Tran35@mail.com,102-132-3989,************9399
Resort Hotel,1,2016,January,3,16,2,5,2,0.0,0,HB,PRT,0,D,No Deposit,Transient,57.6,Canceled,2016-01-15,Sydney Bentley,Bentley.Sydney@att.com,232-578-2246,************8413
Resort Hotel,1,2016,January,4,17,3,5,2,0.0,0,HB,PRT,0,A,No Deposit,Transient,59.4,Canceled,2015-09-21,Cynthia Chavez,Cynthia_C@comcast.net,154-770-7063,************1274
Resort Hotel,1,2016,January,4,17,3,5,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,29.16,Canceled,2016-01-17,Thomas Donaldson,Donaldson_Thomas@yandex.com,967-867-9361,************3069
Resort Hotel,1,2016,January,4,18,1,0,1,0.0,0,BB,PRT,0,F,No Deposit,Transient,0.0,Canceled,2016-01-07,Brian Wagner,Brian_W@mail.com,379-985-0252,************8256
Resort Hotel,1,2016,January,4,18,1,2,2,0.0,0,BB,PRT,0,D,No Deposit,Transient,44.8,Canceled,2015-12-26,Caroline Martinez,CMartinez33@verizon.com,213-153-4705,************2824
Resort Hotel,1,2016,January,4,19,0,1,1,0.0,0,BB,PRT,0,A,No Deposit,Transient,39.0,Canceled,2016-01-19,Jennifer Rodriguez,Rodriguez.Jennifer85@hotmail.com,905-168-2692,************9682
Resort Hotel,1,2016,January,4,21,0,1,1,0.0,0,BB,PRT,0,A,No Deposit,Transient,30.0,Canceled,2016-01-18,John Hicks,John.Hicks@outlook.com,393-847-0379,************1246
Resort Hotel,1,2016,January,4,21,0,3,2,0.0,0,BB,PRT,0,D,No Deposit,Transient,44.8,Canceled,2015-12-26,Jessica Williams,JessicaWilliams@yahoo.com,198-476-1164,************9647
Resort Hotel,1,2016,January,4,21,0,3,2,0.0,0,BB,PRT,0,D,No Deposit,Transient,44.8,Canceled,2015-12-29,Nicole Smith,Smith.Nicole@mail.com,733-043-1699,************1217
Resort Hotel,1,2016,January,4,22,0,1,1,0.0,0,BB,PRT,0,A,No Deposit,Transient-Party,38.0,Canceled,2016-01-21,Tim Boyd DVM,Tim.D28@gmail.com,209-522-1354,************3667
Resort Hotel,0,2016,January,4,22,0,2,2,0.0,0,HB,GBR,0,E,No Deposit,Transient,66.98,Check-Out,2016-01-24,Robert Morales,Robert.M@verizon.com,798-837-7087,************2275
Resort Hotel,1,2016,January,4,22,0,1,2,0.0,0,BB,PRT,0,A,No Deposit,Transient-Party,43.0,Canceled,2016-01-21,Brittney Stevenson,Stevenson_Brittney@hotmail.com,112-816-8555,************6021
Resort Hotel,1,2016,January,4,22,0,2,2,0.0,0,BB,PRT,0,E,No Deposit,Transient,52.8,Canceled,2016-01-22,Jordan Mccormick,Mccormick_Jordan@gmail.com,832-676-1660,************5269
Resort Hotel,0,2016,January,4,22,2,4,2,0.0,0,BB,PRT,0,D,No Deposit,Transient,44.8,No-Show,2016-01-22,Warren Flores,Warren.F96@zoho.com,814-968-5478,************4844
Resort Hotel,0,2016,January,4,23,0,1,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,48.0,No-Show,2016-01-23,Valerie Turner,VTurner25@comcast.net,966-973-6593,************2494
Resort Hotel,0,2016,January,4,23,0,1,2,0.0,0,HB,PRT,0,E,No Deposit,Transient,96.0,No-Show,2016-01-23,Russell Mitchell,Mitchell.Russell33@yandex.com,386-164-7408,************5437
Resort Hotel,1,2016,January,5,25,1,0,2,0.0,0,HB,PRT,0,A,No Deposit,Transient,59.4,Canceled,2015-08-10,Wesley Hernandez,Hernandez.Wesley62@gmail.com,868-158-5750,************3230
Resort Hotel,1,2016,February,6,3,2,5,2,0.0,0,HB,PRT,0,A,No Deposit,Transient,55.0,Canceled,2016-01-12,Maria Bush,Bush.Maria@protonmail.com,976-682-8517,************4126
Resort Hotel,1,2016,February,6,3,7,19,1,0.0,0,BB,PRT,0,A,No Deposit,Transient-Party,30.0,Canceled,2016-01-15,Christina Kennedy,Kennedy.Christina@aol.com,377-424-4471,************1972
Resort Hotel,1,2016,February,6,3,7,19,2,0.0,0,BB,PRT,0,A,No Deposit,Transient-Party,38.0,Canceled,2016-01-15,Margaret Johnson,Johnson.Margaret@mail.com,436-480-5546,************1915
Resort Hotel,1,2016,February,6,4,0,1,1,0.0,0,BB,PRT,0,A,No Deposit,Transient,39.0,Canceled,2016-01-18,Nathan Nguyen,Nguyen_Nathan@aol.com,800-433-4371,************8971
Resort Hotel,0,2016,February,6,4,0,3,2,0.0,0,BB,PRT,0,E,No Deposit,Transient,50.4,Check-Out,2016-01-20,Rachel Johnson,Johnson.Rachel62@gmail.com,585-650-5725,************3956
Resort Hotel,0,2016,February,6,4,0,3,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,54.67,Check-Out,2016-01-19,Andrew Allen,Andrew.Allen@aol.com,561-448-8732,************5077
Resort Hotel,0,2016,February,6,4,1,3,2,1.0,0,BB,PRT,0,G,No Deposit,Transient,87.0,Check-Out,2016-01-11,John Mckinney,JohnMckinney@yandex.com,749-277-1633,************7248
Resort Hotel,0,2016,February,6,4,1,3,2,2.0,0,BB,PRT,0,G,No Deposit,Transient,98.0,Check-Out,2016-01-09,Teresa Ortega,TOrtega28@yahoo.com,209-573-8528,************1201
Resort Hotel,0,2016,February,6,4,4,8,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,38.88,Check-Out,2015-12-25,Nicole Gonzalez,NicoleGonzalez12@mail.com,638-509-0334,************1974
Resort Hotel,0,2016,February,6,5,0,2,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,53.0,Check-Out,2016-01-28,Rita Franco,RFranco@verizon.com,788-865-0532,************8368
Resort Hotel,0,2016,February,6,5,0,2,2,1.0,0,BB,PRT,0,A,No Deposit,Transient,36.25,Check-Out,2016-02-05,Heather Harris,Harris.Heather@outlook.com,113-666-1442,************3983
Resort Hotel,1,2016,February,6,5,1,2,2,1.0,0,BB,PRT,0,A,No Deposit,Transient,69.67,Canceled,2016-02-03,Heather Hernandez,Heather.H@aol.com,126-450-6278,************7523
Resort Hotel,0,2016,February,6,5,2,2,2,0.0,0,BB,ESP,0,A,No Deposit,Transient-Party,26.0,Check-Out,2016-02-09,Andrew Pennington,Andrew_P@hotmail.com,666-924-7183,************6374
Resort Hotel,0,2016,February,6,5,2,2,2,0.0,0,BB,ESP,0,A,No Deposit,Transient-Party,26.0,Check-Out,2016-02-09,Andrew Wilson,Wilson.Andrew@hotmail.com,534-985-4927,************8004
Resort Hotel,1,2016,February,6,5,2,5,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,56.57,Canceled,2016-01-26,Seth Baker,SBaker@zoho.com,735-999-7738,************2994
Resort Hotel,1,2016,February,6,5,2,5,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,56.57,Canceled,2016-01-26,Henry Johnson,HJohnson@comcast.net,867-473-3890,************5665
Resort Hotel,0,2016,February,6,5,2,6,2,0.0,0,HB,GBR,0,E,No Deposit,Transient,72.55,Check-Out,2016-02-13,Amanda Nguyen,Amanda_N@zoho.com,988-140-5015,************5640
Resort Hotel,1,2016,February,6,6,2,1,2,0.0,0,BB,PRT,0,A,No Deposit,Transient,48.0,Canceled,2016-01-19,Devin Gonzales,Devin_G86@zoho.com,172-181-6956,************3176
Resort Hotel,1,2016,February,6,6,2,1,2,0.0,0,HB,PRT,0,D,No Deposit,Transient-Party,73.33,Canceled,2016-01-19,Stephanie Thomas,Stephanie.T12@hotmail.com,468-043-9345,************5046
Resort Hotel,1,2016,February,6,6,2,1,2,0.0,0,HB,PRT,0,D,No Deposit,Transient-Party,73.33,Canceled,2016-01-19,Kevin Young,KYoung@mail.com,493-372-3417,************8493
Resort Hotel,1,2016,February,6,6,2,1,2,0.0,0,HB,PRT,0,D,No Deposit,Transient-Party,73.33,Canceled,2016-01-19,Timothy Buchanan,Timothy.B@hotmail.com,259-546-0199,************7523
Resort Hotel,0,2016,February,6,6,2,1,2,0.0,0,HB,PRT,0,D,No Deposit,Transient-Party,73.33,No-Show,2016-01-19,Adrian Lambert,Lambert_Adrian@protonmail.com,638-521-6651,************4945
Resort Hotel,0,2016,February,6,6,2,1,2,0.0,0,HB,PRT,0,D,No Deposit,Transient-Party,73.33,No-Show,2016-01-19,Robert Cox,Cox.Robert23@yahoo.com,865-795-2279,************7809
Resort Hotel,0,2016,February,6,6,2,1,2,0.0,0,HB,PRT,0,D,No Deposit,Transient-Party,73.33,No-Show,2016-01-19,Heidi Weaver,Heidi.W@aol.com,229-544-7166,************6742
Resort Hotel,1,2016,February,6,6,2,1,2,2.0,0,BB,PRT,0,C,No Deposit,Transient,78.0,Canceled,2016-01-25,Diana Cruz,Diana.Cruz@aol.com,509-281-8747,************6037
